,inz,mutanten,best,t95,b95,t50,b50
2021-03-08,70.12771084337349,49.55798131521645,72.30889289145408,,,,
2021-03-09,70.32409638554216,50.95210407382577,73.45279290886198,,,,
2021-03-10,71.96867469879518,53.3787460195961,74.66299344652144,,,,
2021-03-11,74.97710843373494,56.84340107272984,77.08567219186203,,,,
2021-03-12,78.7710843373494,60.95814838982758,79.62954881894116,,,,
2021-03-13,81.77349397590362,64.50688664563762,82.29667317500557,,,,
2021-03-14,84.53373493975904,67.88836438128118,85.08884750895427,,,,
2021-03-15,86.26506024096386,70.4438887981315,88.00761934643833,,,,
2021-03-16,89.26506024096386,74.03418661606258,91.05427542352876,,,,
2021-03-17,93.95301204819278,79.05526789847644,94.22983670331354,,,,
2021-03-18,98.96385542168674,84.39562442613122,97.53505449505113,,,,
2021-03-19,103.53012048192771,89.39506199986839,100.97040769077574,,,,
2021-03-20,107.34578313253012,93.765076070549,104.53610112952933,,,,
2021-03-21,109.73253012048193,96.87937389923013,107.1551380533296,115.52518576180348,97.77306482335996,112.41171328809983,101.39255005781149
2021-03-22,,,109.8390597509715,119.60406238886378,99.42684899430554,115.81995166742735,103.5345637751288
2021-03-23,,,112.58445089454136,123.90508063928144,101.07879361192829,119.3706102758568,105.7057777442894
2021-03-24,,,115.38772347812746,128.43325968654946,102.72433222021203,123.06436881711973,107.90215061438847
2021-03-25,,,118.24513180935243,133.19346177832782,104.35888458927144,126.90174811193366,110.11955688121841
2021-03-26,,,121.15278794626904,138.1903910153455,105.977880974533,130.88311736026998,112.35380658093834
2021-03-27,,,124.10667750414837,143.42859297815377,107.57678589924885,135.00870201619256,114.60066492665712
2021-03-28,,,127.10267575683999,148.91245521163788,109.15112130954962,139.27859224180733,116.85587177562641
2021-03-29,,,130.13656395785208,154.64620857622825,110.69648896034758,143.69275190661867,119.11516081952131
2021-03-30,,,133.20404580705866,160.63392947382468,112.20859190035722,148.25102809851225,121.37427839563736
2021-03-31,,,136.30076399000183,166.87954295558134,113.68325493519487,152.95316111269162,123.62900182269831
2021-04-01,,,139.42231671809446,173.38682671788402,115.11644395883576,157.7987948851702,125.87515717128416
2021-04-02,,,142.56427419964695,180.15941599205465,116.5042840555205,162.78748783784727,128.10863638558726
2021-04-03,,,145.7221949735259,187.2008093325871,117.84307628640046,167.91872410279177,130.3254136802279
2021-04-04,,,148.8916420393965,194.51437530799933,119.12931308767362,173.19192509409189,132.5215611431411
2021-04-05,,,152.06819872089235,202.10336009771444,120.35969221957113,178.60646139651234,134.69326348302283
2021-04-06,,,155.2474842006953,209.97089599775643,121.53112921819967,184.16166494123283,136.83683186744054
2021-04-07,,,158.42516866936614,218.12001083744659,122.64076831481744,189.85684144010003,138.94871680539813
2021-04-08,,,161.5969880328548,226.55363830875166,123.68599179951538,195.6912830511318,141.02552003585654
2021-04-09,,,164.75875812690373,235.27462920945106,124.66442781839463,201.66428124944645,143.06400539138014
2021-04-10,,,167.90638839003716,244.28576360086558,125.57395660507969,207.77513987935174,145.06110861365804
2021-04-11,,,171.035894950489,253.58976388056345,126.41271515870623,214.0231883650311,147.01394610509274
2021-04-12,,,174.1434130862298,263.18930877019903,127.17910039128176,220.40779505907673,148.91982260789348
2021-04-13,,,177.22520902122181,273.08704821850426,127.87177077748238,226.92838071007526,150.77623780913987
2021-04-14,,,180.27769102509876,283.2856192194267,128.4896465494375,233.58443203251372,152.58089187701714
2021-04-15,,,183.29741978766103,293.7876625455249,129.03190848783646,240.37551536446955,154.33168993987212
2021-04-16,,,186.2811180438348,304.5958403969978,129.49799536869347,247.30129040085467,156.02674552582576
2021-04-17,,,189.22567942906446,315.7128549671676,129.8876001323175,254.36152399240666,157.6643829864003
2021-04-18,,,192.12817654947284,,,,
2021-04-19,,,194.98586825548807,,,,
2021-04-20,,,197.7962061119905,,,,
2021-04-21,,,200.55684006236444,,,,
2021-04-22,,,203.26562328808595,,,,
2021-04-23,,,205.92061626966208,,,,
2021-04-24,,,208.52009005879722,,,,
2021-04-25,,,211.06252877559928,,,,
2021-04-26,,,213.54663134842065,,,,
2021-04-27,,,215.97131251753433,,,,
2021-04-28,,,218.33570312726846,,,,
2021-04-29,,,220.63914973442465,,,,
2021-04-30,,,222.88121356379207,,,,
2021-05-01,,,225.0616688443167,,,,
2021-05-02,,,227.18050056197902,,,,
2021-05-03,,,229.23790166768154,,,,
2021-05-04,,,231.23426978041277,,,,
2021-05-05,,,233.17020342768058,,,,
2021-05-06,,,235.04649786662924,,,,
2021-05-07,,,236.8641405304476,,,,
2021-05-08,,,238.6243061455641,,,,
2021-05-09,,,240.32835156578636,,,,
2021-05-10,,,241.9778103699354,,,,
2021-05-11,,,243.5743872696753,,,,
2021-05-12,,,245.11995237417216,,,,
2021-05-13,,,246.61653535792138,,,,
2021-05-14,,,248.0663195775878,,,,
2021-05-15,,,249.47163618303756,,,,
2021-05-16,,,250.8349582668869,,,,
2021-05-17,,,252.15889509592026,,,,
2021-05-18,,,253.4461864666043,,,,
2021-05-19,,,254.6996972257155,,,,
2021-05-20,,,255.92241199579465,,,,
2021-05-21,,,257.1174301437755,,,,
2021-05-22,,,258.28796102973996,,,,
2021-05-23,,,259.4373195713218,,,,
2021-05-24,,,260.56892215788173,,,,
2021-05-25,,,261.68628294716916,,,,
2021-05-26,,,262.7930105758666,,,,
2021-05-27,,,263.8928053141269,,,,
2021-05-28,,,264.9894566930447,,,,
2021-05-29,,,266.08684163292645,,,,
2021-05-30,,,267.1889230992896,,,,
2021-05-31,,,268.2997493127299,,,,
2021-06-01,,,269.42345353816637,,,,
2021-06-02,,,270.5642544785523,,,,
2021-06-03,,,271.72645729788536,,,,
2021-06-04,,,272.91445529835164,,,,
2021-06-05,,,274.13273227665934,,,,
2021-06-06,,,275.38586558508234,,,,
2021-06-07,,,276.6785299235009,,,,
2021-06-08,,,278.01550188974517,,,,
2021-06-09,,,279.40166531689954,,,,
2021-06-10,,,280.84201742787604,,,,
2021-06-11,,,282.34167583958737,,,,
2021-06-12,,,283.90588645139707,,,,
2021-06-13,,,285.5400322552856,,,,
2021-06-14,,,287.24964310832394,,,,
2021-06-15,,,289.0404065116158,,,,
2021-06-16,,,290.91817944392744,,,,
2021-06-17,,,292.8890013027356,,,,
2021-06-18,,,294.95910801046796,,,,
2021-06-19,,,297.1349473493151,,,,
2021-06-20,,,299.4231955941711,,,,
2021-06-21,,,301.83077552009973,,,,
2021-06-22,,,304.36487586822767,,,,
2021-06-23,,,307.0329723622317,,,,
2021-06-24,,,309.84285037663506,,,,
2021-06-25,,,312.80262936806236,,,,
2021-06-26,,,315.9207891914775,,,,
2021-06-27,,,319.2061984353229,,,,
2021-06-28,,,322.6681449225052,,,,
2021-06-29,,,326.3163685384264,,,,
2021-06-30,,,330.16109656284215,,,,
2021-07-01,,,334.2130816993952,,,,
2021-07-02,,,338.48364301533763,,,,
2021-07-03,,,342.98471002439607,,,,
2021-07-04,,,347.72887016813416,,,,
2021-07-05,,,352.7294199756768,,,,
2021-07-06,,,358.0004202085647,,,,
2021-07-07,,,363.55675532699377,,,,
2021-07-08,,,369.41419764604336,,,,
2021-07-09,,,375.5894765860447,,,,
2021-07-10,,,382.1003534602386,,,,
2021-07-11,,,388.9657022857901,,,,
2021-07-12,,,396.20559715138467,,,,
2021-07-13,,,403.8414067265338,,,,
2021-07-14,,,411.8958965548662,,,,
2021-07-15,,,420.39333983663124,,,,
2021-07-16,,,429.35963747501637,,,,
2021-07-17,,,438.8224482373982,,,,
2021-07-18,,,448.8113299670609,,,,
2021-07-19,,,459.35789287414497,,,,
